area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
285973,606225,0.471727494,19942.57829,860,950,6646,14,784.2645264,686.9733276,40.92928314,0.482409277,2021.10.25-15.08.39_RaspiY_side6_cameraA
235624,989114,0.238217233,56406.36087,1205,1186,8256,21,892.4116821,849.6679077,145.6358032,0.30577726,2021.10.25-15.14.46_RaspiY_side1_cameraA
151196,642636.5,0.235274529,16656.07874,924,1066,7403,14,885.0994263,710.6645508,15.36174202,0.59608601,2021.10.25-15.26.29_RaspiY_side5_cameraA
46613,714370,0.0652505,101626.294,1176,909,7526,14,1157.394775,471.626709,88.69052887,0.913209703,2021.10.25-15.00.52_RaspiY_side7_cameraA
316153,991472.5,0.318872183,35560.16229,1472,998,11734,26,1446.373169,659.9765015,117.2073212,0.889827268,2021.10.25-15.23.37_RaspiY_side2_cameraA
98260,352644,0.278637946,17139.37772,739,796,6359,17,657.0335083,416.381897,118.5723343,0.773554256,2021.10.25-15.07.33_RaspiY_side5_cameraA
147390,905339,0.162800896,37666.54086,1508,946,9249,23,1290.935303,765.138855,95.57245636,0.805422455,2021.10.25-15.21.45_RaspiY_side3_cameraA
217968,523346,0.416489282,20746.76606,915,798,7052,14,770.2525024,600.9694824,112.0235748,0.625500217,2021.10.25-15.27.19_RaspiY_side6_cameraA
237710,1053698.5,0.225595842,44384.77025,1468,1095,9773,26,1217.730103,819.6304932,99.48991394,0.739569146,2021.10.25-15.11.49_RaspiY_side5_cameraA
359033,864573,0.415272048,17791.42212,1243,870,8669,24,1189.202148,695.4904785,63.07624817,0.811150195,2021.10.25-15.27.19_RaspiY_side3_cameraA
140,2692.5,0.051996286,993.2725234,18,446,2667,10,369.3630371,7.694461346,178.1862946,0.999782997,2021.10.25-15.06.30_RaspiY_side1_cameraA
213214,929837,0.229302555,29085.68212,1202,1167,8064,19,1129.99585,730.2069702,143.6052094,0.763165371,2021.10.25-15.26.29_RaspiY_side2_cameraA
33972,677786.5,0.050121978,13446.09677,1062,813,7258,12,822.1983643,690.9588623,60.12088776,0.541998028,2021.10.25-15.19.48_RaspiY_side4_cameraA
234270,758565,0.308833126,43501.20109,1187,847,8150,19,1092.289063,602.4176025,111.8032074,0.834162674,2021.10.25-15.17.32_RaspiY_side6_cameraA
338507,823433,0.411092341,14431.59897,1130,825,8891,18,967.3146362,786.6482544,88.33396149,0.581943893,2021.10.25-15.27.19_RaspiY_side2_cameraA
436307,854303,0.510716924,16649.10296,1411,938,9577,21,1264.668945,642.4282837,72.00465393,0.861368046,2021.10.25-15.08.39_RaspiY_side5_cameraA
108260,512487,0.211244383,62057.00304,996,840,6212,16,890.7843018,449.5456543,60.01348877,0.863316576,2021.10.25-15.03.57_RaspiY_side1_cameraA
284711,1119531,0.254312743,82359.34167,1378,1174,10560,16,1154.128296,808.9330444,124.6552811,0.713255703,2021.10.25-15.14.46_RaspiY_side3_cameraA
259661,876047.5,0.296400595,24919.18316,1305,1001,8401,17,1058.354858,790.7008057,106.2421875,0.664707527,2021.10.25-15.21.45_RaspiY_side4_cameraA
86,25400,0.003385827,1468.841966,110,688,3716,8,37761.84766,87.90143585,178.5310059,0.999997291,2021.10.25-15.06.30_RaspiY_side4_cameraA
395582,871604.5,0.453854931,35432.79043,1201,878,9718,37,1011.206909,757.2616577,96.39044189,0.662717887,2021.10.25-15.12.44_RaspiY_side2_cameraA
108632,645043.5,0.168410348,61639.39546,993,852,7142,16,737.1253662,458.993927,113.4884262,0.782475832,2021.10.25-15.03.57_RaspiY_side4_cameraA
168128,1267573,0.132637726,29517.80734,1440,1195,9951,13,1346.220459,761.5091553,108.4104462,0.824635463,2021.10.25-15.21.45_RaspiY_side7_cameraA
195833,1076798.5,0.181865967,59282.5604,1553,972,9015,15,1328.578857,623.9191895,93.86634064,0.88287186,2021.10.25-15.15.40_RaspiY_side4_cameraA
59,286259.5,0.000206107,3144.21148,1063,538,7380,7,8326.118164,1149.593262,0,0.99042237,2021.10.25-15.04.49_RaspiY_side1_cameraA
241661,805317.5,0.300081645,18867.43836,1315,897,9670,24,1118.594116,692.9321899,64.14990997,0.785022663,2021.10.25-15.23.37_RaspiY_side5_cameraA
