area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
107690,649303,0.16585477,28882.22792,1221,863,8381,21,1046.894043,677.8884888,77.96769714,0.762045487,2021.10.18-14.38.20_RaspiY_side6_cameraA
71185,799602,0.08902554,29031.52212,1236,894,8301,16,1192.262573,587.5097656,89.53081512,0.870160293,2021.10.18-14.20.42_RaspiY_side2_cameraA
55887,678308.5,0.082391714,18655.18918,1255,802,8574,12,1117.418457,611.7419434,96.36528015,0.836831832,2021.10.18-14.31.17_RaspiY_side4_cameraA
61286,273114,0.224397138,16131.2693,781,595,5323,18,680.3000488,353.7970886,100.3950119,0.854129511,2021.10.18-15.31.22_RaspiY_side7_cameraA
68991,594791,0.115992004,7759.555892,924,768,6882,11,688.5687866,358.3019714,123.4943085,0.853948484,2021.10.18-14.34.51_RaspiY_side4_cameraA
148057,575691.5,0.257181146,19823.45662,1198,763,7410,10,1476.865723,708.977478,63.99542236,0.877238132,2021.10.18-15.54.33_RaspiY_side1_cameraA
209883,756540.5,0.277424672,15358.38522,1454,852,8541,23,1244.754028,554.0569458,87.9892807,0.895474111,2021.10.18-15.58.50_RaspiY_side7_cameraA
138868,835116.5,0.166285782,22948.82001,1158,934,9756,13,950.1900024,569.512085,43.97264099,0.800474711,2021.10.18-15.53.37_RaspiY_side2_cameraA
103457,647669.5,0.159737335,14329.16069,972,922,7010,10,678.0657959,626.8530884,121.0250626,0.381249066,2021.10.18-15.28.48_RaspiY_side4_cameraA
108880,617092.5,0.176440323,14627.47623,1146,847,7973,8,890.4789429,456.0798035,88.74721527,0.858881951,2021.10.18-15.11.01_RaspiY_side4_cameraA
164556,978343,0.168198679,28076.22278,1418,1131,8725,15,1186.453247,832.0497437,90.38152313,0.712874488,2021.10.18-14.26.28_RaspiY_side1_cameraA
34313,302829,0.113308171,12620.01226,753,712,6120,16,768.5903931,379.8579712,114.4537506,0.869333003,2021.10.18-15.30.30_RaspiY_side3_cameraA
40211,432703,0.092929792,13802.08818,881,802,7058,16,997.5568848,378.0892029,124.2679291,0.925390454,2021.10.18-15.22.31_RaspiY_side2_cameraA
126094,574042.5,0.219659694,16195.19079,963,837,7010,14,889.8619385,501.031189,73.78760529,0.826427101,2021.10.18-15.07.38_RaspiY_side3_cameraA
133113,654195,0.203476028,12925.36954,1177,822,7682,22,960.8321533,497.8132935,87.90648651,0.855316171,2021.10.18-15.15.32_RaspiY_side1_cameraA
179196,693426.5,0.258421044,21296.95498,1136,874,7535,13,896.5509033,611.1397095,61.05922318,0.731672385,2021.10.18-15.40.26_RaspiY_side5_cameraA
151536,642050.5,0.236018818,30408.28959,966,871,7221,9,745.9753418,658.2268677,101.8135529,0.470554727,2021.10.18-14.59.43_RaspiY_side1_cameraA
16229,249884.5,0.064946005,3966.26092,726,815,6822,19,1305.095825,476.7368774,123.1914597,0.930894247,2021.10.18-15.08.30_RaspiY_side5_cameraA
85049,914922,0.092957651,17286.71977,1224,962,8357,9,1637.704712,656.7236938,93.83219147,0.916076956,2021.10.18-15.04.14_RaspiY_side2_cameraA
324450,1024983.5,0.316541681,27970.39872,1232,1171,8773,20,1113.540405,714.4174805,117.5973587,0.767061966,2021.10.18-14.19.35_RaspiY_side1_cameraA
87409,579496,0.150836244,20090.89554,907,872,7268,17,808.8771362,558.2208252,107.1989441,0.723696679,2021.10.18-14.50.44_RaspiY_side4_cameraA
