area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
156890,519087.5,0.302241915,32785.66347,886,842,7842,21,727.5523071,599.2074585,104.1598053,0.56718031,2021.10.20-11.38.42_RaspiY_side7_cameraA
411569,722087.5,0.569971091,12573.77848,1100,848,7375,26,1037.715576,713.2453613,71.61134338,0.726352292,2021.10.20-11.46.21_RaspiY_side2_cameraA
217071,750445.5,0.289256182,15958.92678,1207,805,8866,13,971.2661133,596.5072632,79.88021088,0.789185968,2021.10.20-10.55.23_RaspiY_side4_cameraA
128609,511572.5,0.251399362,27470.59049,1012,757,6551,20,962.90625,402.8003845,90.19454956,0.908300941,2021.10.20-11.19.45_RaspiY_side7_cameraA
16794,209958,0.079987426,3906.631478,671,740,6455,20,660.3190918,273.4082642,127.21138,0.910251973,2021.10.20-11.15.00_RaspiY_side4_cameraA
330635,787859,0.419662655,16838.5062,1296,861,8901,24,1094.823608,673.2601929,88.03143311,0.788567231,2021.10.20-10.47.09_RaspiY_side1_cameraA
126157,874284.5,0.144297423,22403.36664,1508,855,10034,20,1199.957642,667.2727051,90.98087311,0.831128626,2021.10.20-11.12.42_RaspiY_side6_cameraA
107382,694086,0.154709935,21629.99902,1188,854,7163,12,924.9389648,550.8255615,93.25626373,0.803335746,2021.10.20-11.32.42_RaspiY_side3_cameraA
259359,928303.5,0.279390307,32523.86876,1328,1033,9231,21,1087.858887,676.6292114,115.6806564,0.783031127,2021.10.20-10.49.01_RaspiY_side7_cameraA
371894,1083218.5,0.343323161,24467.1926,1404,1211,10082,11,1313.253784,707.5508423,117.7495575,0.842448467,2021.10.20-10.45.31_RaspiY_side2_cameraA
198705,717238,0.27704193,11727.51869,1170,790,8784,20,1054.706055,546.6060181,101.3482285,0.855226527,2021.10.20-11.14.15_RaspiY_side6_cameraA
93443,630996.5,0.148087985,16448.77575,1163,861,8044,8,1001.087402,697.6627197,92.87743378,0.717163548,2021.10.20-11.24.38_RaspiY_side6_cameraA
268009,803472.5,0.333563376,19523.97261,1175,1064,7483,31,965.9158936,838.1885376,97.67851257,0.496973791,2021.10.20-10.31.16_RaspiY_side2_cameraA
257168,601250.5,0.42772189,15248.82785,1026,806,7952,12,920.2435303,595.7323608,95.84118652,0.762181142,2021.10.20-11.26.14_RaspiY_side6_cameraA
223368,790536.5,0.282552419,33364.3995,1125,936,7782,30,929.4247437,763.5096436,80.68351746,0.570228329,2021.10.20-10.53.03_RaspiY_side4_cameraA
139462,758474,0.183871827,15296.9733,1213,934,7822,20,1068.53833,625.3678589,72.75360107,0.810848989,2021.10.20-12.00.36_RaspiY_side3_cameraA
150678,877427,0.171727107,29306.39129,1083,1094,9387,13,1103.768677,682.5479736,40.7182312,0.785879594,2021.10.20-10.32.06_RaspiY_side2_cameraA
71023,834375,0.085121199,27466.47226,1365,986,9318,15,1517.767334,662.9489136,114.5891266,0.899562441,2021.10.20-10.40.39_RaspiY_side7_cameraA
121725,994184.5,0.122437033,46641.79347,1252,1122,10621,11,1325.53833,648.0693359,92.38129425,0.872334066,2021.10.20-12.03.24_RaspiY_side4_cameraA
214556,826196.5,0.259691248,41643.68396,1350,867,8365,13,1051.330444,643.6835938,90.27222443,0.790659429,2021.10.20-10.53.50_RaspiY_side4_cameraA
86407,540223.5,0.159946763,20123.95913,1161,821,8279,10,1116.383423,521.0700684,101.012825,0.884390198,2021.10.20-11.24.38_RaspiY_side2_cameraA
81865,595340.5,0.137509543,17662.96044,960,865,6378,19,729.9105225,580.0890503,90.17201233,0.606950093,2021.10.20-11.22.56_RaspiY_side7_cameraA
32,2399,0.013338891,753.3967638,19,364,1911,9,370.3053589,19.41922569,178.3075714,0.998624018,2021.10.20-11.40.28_RaspiY_side3_cameraA
124246,543169,0.228742804,15394.76774,997,872,6478,10,742.4090576,595.9233398,64.72987366,0.596398271,2021.10.20-11.01.44_RaspiY_side5_cameraA
217175,753309,0.28829471,60401.74094,1061,885,8285,16,822.1884155,615.4570923,107.7375031,0.663067428,2021.10.20-10.49.51_RaspiY_side3_cameraA
271489,993372,0.273300435,21963.88103,1216,1207,8715,20,1034.007202,655.8084106,107.5432281,0.773136477,2021.10.20-10.48.11_RaspiY_side4_cameraA
89889,514983.5,0.17454734,20955.76915,867,953,7708,17,872.8797607,488.7591248,118.7433167,0.828534064,2021.10.20-11.18.57_RaspiY_side1_cameraA
194158,675350.5,0.287492198,12352.04911,871,1041,7626,12,803.7077026,547.6220093,119.0727692,0.731939509,2021.10.20-11.13.29_RaspiY_side2_cameraA
252256,518933.5,0.486104674,9361.451784,804,827,6786,23,775.9083252,592.7075806,119.0552673,0.645348042,2021.10.20-11.30.13_RaspiY_side2_cameraA
17912,297240.5,0.060260967,4793.160939,638,810,6376,14,720.0564575,570.8617554,155.0427246,0.609480079,2021.10.20-11.15.00_RaspiY_side7_cameraA
128577,663625.5,0.193749336,12894.43962,1083,836,6650,11,941.1376343,515.2911377,89.10325623,0.836792972,2021.10.20-11.09.24_RaspiY_side6_cameraA
135902,853424.5,0.159243143,21204.42,1094,1196,8160,17,984.1306152,651.6887207,65.51673126,0.749329448,2021.10.20-11.12.42_RaspiY_side7_cameraA
126629,804737.5,0.157354417,14477.3071,1345,846,9303,22,1362.656494,477.7711792,101.427887,0.936518759,2021.10.20-11.29.22_RaspiY_side7_cameraA
184840,1029528.5,0.179538497,19892.44737,1429,944,11413,26,1243.539307,758.4281616,112.7666397,0.792482383,2021.10.20-11.02.30_RaspiY_side6_cameraA
93042,583335,0.159500116,15857.77732,1061,904,7523,11,968.4343872,559.1298828,55.26541519,0.816493639,2021.10.20-11.44.48_RaspiY_side4_cameraA
184875,616009.5,0.300117125,11600.35234,966,805,7323,12,796.9210205,562.192688,88.79071808,0.708753752,2021.10.20-11.03.21_RaspiY_side4_cameraA
173858,918304.5,0.189325001,23338.21779,1263,1097,7766,19,959.0015259,834.7832031,84.29927063,0.492219362,2021.10.20-10.44.44_RaspiY_side5_cameraA
294404,591912,0.497377989,12260.50548,923,825,7609,17,793.869873,675.9464722,114.9598923,0.524423583,2021.10.20-10.48.11_RaspiY_side6_cameraA
15355,171919.5,0.089315057,5071.749775,487,826,5997,12,671.4552612,583.8674316,111.527504,0.49383571,2021.10.20-11.15.46_RaspiY_side6_cameraA
71711,643636,0.111415458,16531.81791,1099,837,8038,10,1031.734375,447.0004578,113.5879059,0.901273069,2021.10.20-11.27.49_RaspiY_side3_cameraA
155974,662303.5,0.235502304,26849.80096,1067,855,7334,17,752.5012207,563.3277588,103.7442856,0.66301388,2021.10.20-10.49.51_RaspiY_side7_cameraA
140979,755331,0.186645325,49726.17122,1070,911,7846,20,868.0751953,646.1905518,94.54931641,0.667739897,2021.10.20-11.53.35_RaspiY_side1_cameraA
113919,769187.5,0.148103031,19655.76341,1318,815,10225,14,1135.248169,599.4215088,100.0564346,0.849238633,2021.10.20-11.27.01_RaspiY_side4_cameraA
152402,647448,0.235388788,42062.72939,1139,888,7062,13,949.6295776,582.0494995,73.41477203,0.790142896,2021.10.20-11.53.35_RaspiY_side5_cameraA
77616,742985.5,0.104465027,75022.75276,1230,853,9717,14,885.4245605,566.8518677,105.7113571,0.768205395,2021.10.20-11.31.00_RaspiY_side5_cameraA
92082,569155.5,0.161787069,64285.25754,950,866,7782,18,737.2727051,555.5880737,120.9545975,0.657365368,2021.10.20-11.31.00_RaspiY_side6_cameraA
221075,889641.5,0.248498974,19822.44412,1328,808,10583,15,1105.53479,591.9172974,75.80986023,0.844590616,2021.10.20-10.57.49_RaspiY_side1_cameraA
173705,580961,0.298995974,13358.50491,958,851,6459,14,769.7589111,519.9825439,92.61785889,0.73734761,2021.10.20-11.29.22_RaspiY_side2_cameraA
259933,1369068.5,0.189861209,29117.35668,1621,1298,11163,24,1512.820679,978.8914185,107.4756851,0.762435903,2021.10.20-10.38.08_RaspiY_side6_cameraA
250077,1013542,0.246735705,14900.60839,1241,1168,9635,16,1107.63269,681.1828003,93.3334198,0.788535068,2021.10.20-10.43.12_RaspiY_side7_cameraA
291663,790016.5,0.36918596,19886.78816,1294,822,9407,27,1148.618652,620.4827271,109.8334351,0.841537263,2021.10.20-10.48.11_RaspiY_side5_cameraA
95130,893637.5,0.10645256,29314.3715,1363,981,10021,14,1250.049072,704.5808105,102.5558853,0.826018831,2021.10.20-11.00.58_RaspiY_side5_cameraA
162070,730199.5,0.221953042,37136.60524,1130,1027,6700,32,1069.445435,664.2128906,56.59337997,0.7837459,2021.10.20-10.54.36_RaspiY_side7_cameraA
92694,531334,0.174455239,20288.01608,1241,715,8145,17,1024.452026,431.8029785,82.82236481,0.906830013,2021.10.20-11.32.42_RaspiY_side7_cameraA
156466,907728,0.172371019,70564.38229,1396,911,9337,13,1152.002197,674.1830444,77.51354218,0.810869348,2021.10.20-10.53.50_RaspiY_side3_cameraA
154621,957210,0.161532997,14560.10681,1068,1266,9097,11,939.3842773,550.5964355,115.5012436,0.810220773,2021.10.20-11.09.24_RaspiY_side3_cameraA
105755,664366,0.159181837,21431.2563,1048,849,7325,10,879.8754272,589.2860107,120.964447,0.742597474,2021.10.20-11.12.42_RaspiY_side5_cameraA
249292,865531,0.288022035,30549.65396,1192,976,8297,19,875.6280518,784.2803345,77.4322052,0.444704212,2021.10.20-10.53.03_RaspiY_side5_cameraA
146345,794522.5,0.184192392,23374.18803,960,1259,8640,14,951.2941895,686.125,16.30530548,0.692670392,2021.10.20-11.02.30_RaspiY_side3_cameraA
102211,894415,0.11427693,35847.52222,1219,925,9804,16,1218.811768,650.7166748,72.82154083,0.845551216,2021.10.20-12.03.24_RaspiY_side3_cameraA
140931,968247.5,0.145552661,26225.38663,1313,1109,8415,11,1403.559937,763.121582,72.92240906,0.839276848,2021.10.20-10.32.06_RaspiY_side6_cameraA
157883,912330.5,0.173054611,21074.17047,1247,933,10960,13,1283.825928,641.2158203,70.90517426,0.86633869,2021.10.20-11.11.08_RaspiY_side7_cameraA
256218,583036.5,0.439454477,22945.36483,1065,765,6426,16,966.0155029,432.6558838,100.8287582,0.894095306,2021.10.20-11.10.16_RaspiY_side6_cameraA
76252,730710,0.1043533,45866.32851,1124,935,7712,12,743.5280762,509.2185669,92.85993195,0.72866718,2021.10.20-11.54.29_RaspiY_side7_cameraA
72,252893.5,0.000284705,2595.326743,937,558,6786,8,520.7276001,199.2384033,18.02785683,0.923907706,2021.10.20-11.42.17_RaspiY_side4_cameraA
123126,758894,0.162244002,51402.88695,1005,1169,7251,21,947.0571899,627.1998291,50.08856201,0.749272492,2021.10.20-11.55.42_RaspiY_side4_cameraA
214414,605160,0.354309604,28911.29474,996,825,5925,12,818.3858643,646.8305664,70.80866241,0.612625173,2021.10.20-10.47.09_RaspiY_side2_cameraA
135485,666728.5,0.203208652,19509.44278,1180,989,7981,20,1037.523315,551.9078369,137.1049805,0.846777395,2021.10.20-10.46.20_RaspiY_side4_cameraA
324500,791520,0.409970689,13615.99816,1236,836,8868,27,1053.985718,587.3128052,91.82514191,0.830357973,2021.10.20-10.52.16_RaspiY_side5_cameraA
83853,1050515.5,0.079820812,19309.69037,1288,1297,9838,16,815.7023926,717.5534058,10.70582962,0.475574415,2021.10.20-11.35.57_RaspiY_side2_cameraA
137786,681837,0.202080556,14634.41299,1229,840,8083,14,1061.224487,583.173645,74.33405304,0.835474634,2021.10.20-11.13.29_RaspiY_side7_cameraA
256384,747124,0.343161242,16407.31843,1379,861,9126,19,1165.803467,566.2936401,95.96364594,0.874095589,2021.10.20-11.26.14_RaspiY_side5_cameraA
149644,1019728,0.146748937,36346.34752,1195,1205,9089,12,1116.254883,821.4026489,65.46825409,0.677138255,2021.10.20-10.36.23_RaspiY_side7_cameraA
143813,677492.5,0.212272461,38540.46075,1409,864,9306,15,1174.434326,487.8213196,92.07400513,0.909653899,2021.10.20-10.49.51_RaspiY_side5_cameraA
232307,708854.5,0.327721697,17798.0019,1232,805,7422,20,951.8569336,649.4002075,67.0313797,0.731123066,2021.10.20-10.43.12_RaspiY_side2_cameraA
127094,400264,0.317525433,15180.92938,772,834,6787,22,666.5874023,489.1530762,108.2475433,0.679347343,2021.10.20-11.17.25_RaspiY_side2_cameraA
127682,837584.5,0.152440739,20871.57798,1156,998,8319,16,1016.223145,545.2077637,99.46658325,0.843897788,2021.10.20-14.33.44_RaspiY_side7_cameraA
182610,1292659.5,0.1412669,32397.527,1374,1300,10884,14,1314.796753,655.6589355,90.98980713,0.866787877,2021.10.20-10.57.49_RaspiY_side5_cameraA
205850,947097,0.217348381,12065.80068,1076,1202,8764,19,862.2561035,652.7873535,100.1853409,0.653334946,2021.10.20-11.26.14_RaspiY_side4_cameraA
45,1608,0.027985075,1100.589548,20,541,2108,8,583.6621094,4.28536129,178.2806091,0.999973046,2021.10.20-11.42.17_RaspiY_side6_cameraA
201650,954959.5,0.211160787,28060.0511,1461,936,9867,14,1321.061279,763.0772705,95.30216217,0.81630265,2021.10.20-10.53.50_RaspiY_side6_cameraA
172175,785972,0.219059967,16760.27782,1407,907,10392,16,895.4224243,570.8154297,106.1504059,0.770465478,2021.10.20-11.05.41_RaspiY_side6_cameraA
187910,1158912,0.162143459,27425.83936,1158,1406,9739,20,1110.151733,894.656189,157.2881012,0.592070184,2021.10.20-10.38.08_RaspiY_side4_cameraA
