area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
33051,414272.5,0.079780821,11833.36886,697,834,6725,15,735.71521,388.8564453,140.476181,0.848907105,2021.10.11-15.55.56_RaspiY_side1_cameraA
429,385546.5,0.001112706,3262.826437,571,870,7305,16,1955.215332,563.7374268,176.4145966,0.957532613,2021.10.11-15.31.51_RaspiY_side5_cameraA
57837,400112.5,0.144551845,9218.195328,853,805,5680,10,726.1430664,554.1256104,83.49291229,0.646270936,2021.10.11-14.39.51_RaspiY_side6_cameraA
98844,608152.5,0.162531602,26005.65287,1165,870,6016,22,6427.808105,1559.393555,119.4753113,0.97012612,2021.10.11-16.18.33_RaspiY_side2_cameraA
99515,598493,0.166275963,13381.52145,977,796,7465,14,849.3062134,633.3551025,76.26226807,0.666245668,2021.10.11-16.21.58_RaspiY_side7_cameraA
77684,452126.5,0.17181917,23925.73957,881,716,6144,19,626.9984131,544.6637573,67.22343445,0.495365891,2021.10.11-14.05.29_RaspiY_side6_cameraA
68979,615378,0.11209208,19692.40842,1043,805,7535,11,732.1829224,485.256897,76.92709351,0.748837507,2021.10.11-15.01.33_RaspiY_side5_cameraA
88198,386138.5,0.228410272,18057.18668,841,760,5979,15,694.40271,499.2200623,110.3132935,0.695092725,2021.10.11-14.05.29_RaspiY_side1_cameraA
61844,683197,0.090521475,18997.19112,1162,847,7928,9,943.2509155,621.9073486,92.4799118,0.751859513,2021.10.11-15.23.35_RaspiY_side4_cameraA
65391,389452.5,0.167904943,10799.82004,831,864,6122,8,857.6725464,786.9030151,55.22816467,0.397766832,2021.10.11-16.15.25_RaspiY_side6_cameraA
75132,411775,0.182458867,10354.7201,818,802,6510,12,664.767395,542.5223999,118.0858765,0.577898541,2021.10.11-15.00.09_RaspiY_side5_cameraA
115649,487176.5,0.237386245,15436.89462,973,783,6339,13,716.3150635,659.7167969,123.6100006,0.389593521,2021.10.11-15.41.30_RaspiY_side5_cameraA
