area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
172861,624794,0.27666879,15625.26219,1155,830,7797,18,1050.963013,564.5148315,97.46211243,0.843492768,2021.10.13-15.23.51_RaspiY_side1_cameraA
168958,627055,0.269446859,15050.98219,1163,835,7736,25,952.9633179,588.7992554,88.24346161,0.786287023,2021.10.13-15.23.51_RaspiY_side2_cameraA
130868,709233.5,0.184520331,16166.34705,999,1043,6912,11,843.1484375,670.8743896,122.7380447,0.605720262,2021.10.13-15.23.51_RaspiY_side3_cameraA
162514,590939,0.275009773,24760.11519,1097,815,7688,17,961.0683594,558.6468506,59.25123596,0.813705812,2021.10.13-15.23.51_RaspiY_side4_cameraA
217114,636303.5,0.341211387,17603.37226,1213,827,7974,19,974.2808228,654.0320435,90.01331329,0.741188231,2021.10.13-15.23.51_RaspiY_side5_cameraA
166392,563301,0.295387368,18991.72852,1131,794,7423,26,829.1108398,585.7648315,101.8240967,0.707715422,2021.10.13-15.23.51_RaspiY_side6_cameraA
130328,479198.5,0.271970801,9846.501073,982,765,7167,15,810.7765503,496.9310303,123.6659698,0.790154664,2021.10.13-15.23.51_RaspiY_side7_cameraA
37406,564885.5,0.066218729,25861.87899,1078,828,8055,11,811.6382446,560.7977295,94.43016815,0.722906926,2021.10.13-15.24.49_RaspiY_side1_cameraA
57827,555374.5,0.104122534,21952.92866,1107,801,8152,9,888.1478271,508.8905945,96.9669342,0.819569624,2021.10.13-15.24.49_RaspiY_side2_cameraA
53804,607535,0.088561153,37409.15077,1083,847,8723,11,937.6032104,452.2594604,87.57263947,0.875974735,2021.10.13-15.24.49_RaspiY_side3_cameraA
74649,551440.5,0.135370906,16722.3658,1083,758,8544,10,848.9584351,490.4927979,106.7380371,0.816207894,2021.10.13-15.24.49_RaspiY_side4_cameraA
95757,699615,0.136870993,13181.84942,1148,858,8262,17,1024.868164,629.3009033,88.39641571,0.789281848,2021.10.13-15.24.49_RaspiY_side5_cameraA
89473,658147.5,0.135946729,16600.16248,1266,798,9065,11,1215.429077,492.6761169,89.85429382,0.914160863,2021.10.13-15.24.49_RaspiY_side6_cameraA
63609,488681,0.130164668,15022.17194,965,843,6690,15,1227.4375,537.9036865,106.3175354,0.898861385,2021.10.13-15.24.49_RaspiY_side7_cameraA
70894,765401.5,0.092623283,17914.90453,1145,880,8639,13,1142.212158,539.5961304,113.625618,0.881377186,2021.10.13-15.25.51_RaspiY_side1_cameraA
219808,842503,0.260898774,21664.43404,1308,928,9863,11,1089.985352,526.4093628,113.4468079,0.875647456,2021.10.13-15.25.51_RaspiY_side2_cameraA
146679,749344.5,0.195743079,27859.50432,1074,859,8370,23,1007.256348,565.8234253,53.85116577,0.827308946,2021.10.13-15.25.51_RaspiY_side3_cameraA
43175,662652,0.065154863,60126.6873,1174,839,8744,16,1770.647705,1149.848633,60.59424973,0.760451817,2021.10.13-15.25.51_RaspiY_side4_cameraA
75296,576435,0.130623574,37563.92924,935,909,7108,13,820.3769531,581.618042,126.7530975,0.705244285,2021.10.13-15.25.51_RaspiY_side5_cameraA
97768,488488,0.200144118,33383.02492,999,893,7834,15,912.6803589,444.6078491,125.7924805,0.873320996,2021.10.13-15.25.51_RaspiY_side6_cameraA
67007,524102.5,0.127850945,20595.69132,1091,848,8067,18,1210.307861,470.4018555,118.6673508,0.921379993,2021.10.13-15.25.51_RaspiY_side7_cameraA
60600,618566.5,0.097968448,20827.32959,1071,824,5961,19,1586.987671,717.2554932,47.8602829,0.89203803,2021.10.13-15.26.50_RaspiY_side1_cameraA
53237,517308.5,0.102911512,15791.42198,862,819,6810,14,692.4519043,587.6972046,136.9249725,0.528843807,2021.10.13-15.26.50_RaspiY_side2_cameraA
57580,520219,0.110684154,14045.54386,969,847,7435,13,869.7186279,511.3122864,119.2513275,0.808929681,2021.10.13-15.26.50_RaspiY_side3_cameraA
54563,540011,0.101040534,12546.01978,1189,735,7967,15,1481.565063,556.46875,118.5525436,0.926783812,2021.10.13-15.26.50_RaspiY_side4_cameraA
38467,630061,0.061052819,16915.28043,1101,816,7488,14,868.4260864,591.5947876,97.20848846,0.732072793,2021.10.13-15.26.50_RaspiY_side5_cameraA
54459,514884.5,0.105769352,21082.63561,1043,822,7168,12,897.4240723,555.8187866,125.0077286,0.785115723,2021.10.13-15.26.50_RaspiY_side6_cameraA
71392,677587,0.105362116,21106.70677,1236,850,8575,10,1106.59668,685.9545288,56.83084488,0.784698491,2021.10.13-15.26.50_RaspiY_side7_cameraA
149430,721073,0.207232832,12624.85927,1337,768,9829,13,1116.636719,468.3251038,112.318222,0.907798371,2021.10.13-15.27.43_RaspiY_side1_cameraA
231036,791959,0.291727223,15841.14393,1222,806,9457,13,1118.535156,549.3910522,103.0345078,0.871063665,2021.10.13-15.27.43_RaspiY_side2_cameraA
171453,627000.5,0.273449543,13712.73862,1143,878,7817,26,904.7346191,617.0820313,92.49397278,0.731297519,2021.10.13-15.27.43_RaspiY_side3_cameraA
141535,695999.5,0.203355031,16502.58601,1054,904,7266,15,935.0305786,690.7150269,65.32911682,0.674025049,2021.10.13-15.27.43_RaspiY_side4_cameraA
197937,696840,0.284049423,13529.12627,1069,840,7547,17,964.8513794,582.2073975,89.03360748,0.797426068,2021.10.13-15.27.43_RaspiY_side5_cameraA
161272,692196,0.232986033,13977.04339,1041,847,7953,15,848.2807617,550.0305176,101.2116241,0.761294543,2021.10.13-15.27.43_RaspiY_side6_cameraA
133196,689975.5,0.193044536,13266.78955,1145,849,8813,11,983.3318481,529.6764526,111.9813309,0.84252654,2021.10.13-15.27.43_RaspiY_side7_cameraA
201578,868793,0.232020746,16690.73855,1315,895,9032,15,1008.527832,709.0786743,85.96022797,0.711107892,2021.10.13-15.28.59_RaspiY_side1_cameraA
205664,749477.5,0.274409839,18746.30211,1157,961,6377,16,957.7580566,811.4797363,95.1097641,0.531162336,2021.10.13-15.28.59_RaspiY_side2_cameraA
199986,965034.5,0.207231969,29494.01531,1524,967,10069,21,1339.084961,765.0570679,68.34159851,0.820721652,2021.10.13-15.28.59_RaspiY_side3_cameraA
323001,912591.5,0.353938208,55601.89724,1460,1075,9970,18,1233.994873,832.1550293,62.38405228,0.738404027,2021.10.13-15.28.59_RaspiY_side4_cameraA
277034,868151,0.319108081,20835.27364,1155,1124,7876,26,929.494812,877.4958496,165.6520996,0.329783044,2021.10.13-15.28.59_RaspiY_side5_cameraA
187574,920358,0.203805476,18221.5776,1364,1208,9586,13,1464.72168,870.8001709,93.7243576,0.804083933,2021.10.13-15.28.59_RaspiY_side6_cameraA
210812,872014.5,0.241752861,16063.39733,1549,911,10956,23,1393.306396,706.9662476,104.6719894,0.861709556,2021.10.13-15.28.59_RaspiY_side7_cameraA
71466,518629,0.137797925,16077.84309,1010,803,7149,13,740.3416748,601.7178345,95.82273865,0.582602914,2021.10.13-15.30.15_RaspiY_side1_cameraA
78291,813941.5,0.096187502,22289.15671,1249,891,9508,14,1025.897705,650.0043335,109.7454376,0.773664359,2021.10.13-15.30.15_RaspiY_side2_cameraA
69186,748894.5,0.092384174,31682.77347,1295,846,8995,14,928.9329834,620.0772705,80.23444366,0.7445958,2021.10.13-15.30.15_RaspiY_side3_cameraA
117458,726381,0.161703018,25225.67617,1081,873,8899,16,959.3439331,636.4104004,123.7312775,0.748281925,2021.10.13-15.30.15_RaspiY_side4_cameraA
130297,741462,0.175729842,19278.36353,1157,909,8209,15,972.1901245,692.0131226,73.05213928,0.702373664,2021.10.13-15.30.15_RaspiY_side5_cameraA
82367,684546,0.120323543,21308.29148,1247,830,8563,16,1278.305176,601.8529663,98.53234863,0.882228742,2021.10.13-15.30.15_RaspiY_side6_cameraA
53373,605296,0.088176694,25431.32328,1028,830,7421,14,776.9904175,603.7179565,125.5127335,0.629506311,2021.10.13-15.30.15_RaspiY_side7_cameraA
99335,952253.5,0.10431571,28215.5037,1092,1229,8531,13,860.6013184,603.9726563,109.0358887,0.712370996,2021.10.13-15.31.09_RaspiY_side1_cameraA
68821,569534,0.120837386,19096.67183,1146,870,7840,16,2244.021729,924.6173096,0,0.911167653,2021.10.13-15.31.09_RaspiY_side2_cameraA
63183,638417,0.098968229,22085.78448,1338,838,8671,19,11736.05957,1825.587402,0,0.987827439,2021.10.13-15.31.09_RaspiY_side3_cameraA
69050,579319,0.119191672,32826.11948,1130,867,8072,12,905.2445679,542.1708984,93.56819916,0.800807357,2021.10.13-15.31.09_RaspiY_side4_cameraA
63802,641488.5,0.099459304,28944.24493,1085,859,7541,12,990.8887939,645.1794434,76.68052673,0.758981784,2021.10.13-15.31.09_RaspiY_side5_cameraA
58324,631945,0.092292842,20568.99321,1125,854,7711,11,1287.99585,777.0752563,0,0.797498262,2021.10.13-15.31.09_RaspiY_side6_cameraA
92698,628229.5,0.147554357,18744.71009,943,856,8240,13,802.8337402,610.8262329,109.1228561,0.648942129,2021.10.13-15.31.09_RaspiY_side7_cameraA
57338,658443.5,0.087081124,24154.4939,1090,899,7922,17,1023.077454,611.7444458,125.1902237,0.801536844,2021.10.13-15.32.15_RaspiY_side1_cameraA
58182,732890,0.079387084,23774.79033,1361,871,8844,20,1310.753906,611.7103882,118.2699966,0.88442312,2021.10.13-15.32.15_RaspiY_side2_cameraA
69950,710628,0.098434061,26117.95947,1265,827,9036,22,991.2267456,602.7749023,124.4955368,0.79385277,2021.10.13-15.32.15_RaspiY_side3_cameraA
87439,625623,0.139763084,32705.73376,955,865,7027,16,892.8401489,591.0645752,31.39075661,0.749499486,2021.10.13-15.32.15_RaspiY_side4_cameraA
57141,578648.5,0.098749068,19884.34408,1180,820,7823,19,946.7653809,641.6517944,65.96069336,0.735310371,2021.10.13-15.32.15_RaspiY_side5_cameraA
55125,693290,0.079512181,20832.90611,919,910,7586,19,852.2536011,706.9962769,48.6604805,0.558416233,2021.10.13-15.32.15_RaspiY_side6_cameraA
59992,568994.5,0.105435114,18380.76308,857,902,6175,22,738.4344482,669.6421509,169.9023132,0.421474301,2021.10.13-15.32.15_RaspiY_side7_cameraA
109968,849190.5,0.129497445,14357.80656,1088,1299,10672,16,1118.394653,588.1348267,119.8463669,0.850562396,2021.10.13-15.33.12_RaspiY_side1_cameraA
154151,628233,0.245372338,18353.58783,1235,851,8632,20,1016.563477,538.8610229,104.5928726,0.847946987,2021.10.13-15.33.12_RaspiY_side2_cameraA
162028,992364.5,0.163274684,18781.0508,1468,1285,9920,17,1355.530884,649.7824097,108.9577255,0.877620327,2021.10.13-15.33.12_RaspiY_side3_cameraA
112843,575584,0.196049577,30330.38475,1089,822,8512,21,913.3342285,511.7170715,95.18790436,0.828307596,2021.10.13-15.33.12_RaspiY_side4_cameraA
177551,753499,0.235635349,9248.384548,1059,1195,8058,14,926.5986328,573.6287842,105.1504211,0.785336348,2021.10.13-15.33.12_RaspiY_side5_cameraA
141826,683562,0.207480814,13603.06667,1207,800,7839,10,1045.021973,534.3388672,87.58363342,0.859391405,2021.10.13-15.33.12_RaspiY_side6_cameraA
107448,521159,0.206171245,9892.69593,993,794,7989,20,827.3700562,538.6187134,103.6105652,0.759076894,2021.10.13-15.33.12_RaspiY_side7_cameraA
204838,838735.5,0.244222404,18094.70819,1235,1029,7534,21,975.2446289,770.7225952,105.1352234,0.612737595,2021.10.13-15.34.23_RaspiY_side1_cameraA
189026,830146,0.227702115,18673.03595,1366,960,8891,21,1251.688477,804.1240234,96.11850739,0.766343169,2021.10.13-15.34.23_RaspiY_side2_cameraA
180222,875591,0.205828977,20170.70185,1270,1011,9739,23,1086.502686,755.3359985,51.09069061,0.718816955,2021.10.13-15.34.23_RaspiY_side3_cameraA
172525,727352.5,0.237195858,19011.83918,1067,999,6750,16,902.6697388,731.8195801,140.2742157,0.585423098,2021.10.13-15.34.23_RaspiY_side4_cameraA
150494,807299,0.186416681,16690.66079,1152,946,7647,13,1008.192932,821.9946289,85.32448578,0.579017928,2021.10.13-15.34.23_RaspiY_side5_cameraA
111054,626862,0.177158609,21979.27681,985,1007,6478,13,982.0430298,687.4230347,43.19047165,0.714149916,2021.10.13-15.34.23_RaspiY_side6_cameraA
161336,789178.5,0.204435372,21196.10302,1041,1094,7356,15,878.8741455,720.6174316,156.9466095,0.572460284,2021.10.13-15.34.23_RaspiY_side7_cameraA
43326,524398,0.082620452,14320.26876,851,858,7279,11,693.5744629,587.0455322,90.31329346,0.532538277,2021.10.13-15.35.15_RaspiY_side1_cameraA
62308,711716,0.087546156,18420.16957,1071,843,8887,10,917.6574097,486.9121094,105.1966095,0.847620239,2021.10.13-15.35.15_RaspiY_side2_cameraA
79089,695909,0.11364848,17601.44067,1187,770,8888,10,981.355835,509.3051453,101.6285095,0.854785706,2021.10.13-15.35.15_RaspiY_side3_cameraA
64213,885854,0.072487114,15397.80656,1073,1291,9284,8,684.401062,527.3740234,99.20874786,0.637364037,2021.10.13-15.35.15_RaspiY_side4_cameraA
51162,660163.5,0.077498983,17507.09941,1010,881,7277,14,924.3561401,595.8394775,106.8410416,0.764520454,2021.10.13-15.35.15_RaspiY_side5_cameraA
62551,590214.5,0.105980114,15883.09601,1187,831,7513,14,1090.805054,510.0708923,92.0015564,0.883935111,2021.10.13-15.35.15_RaspiY_side6_cameraA
64427,608684,0.105846383,13176.75439,1182,867,7874,13,2308.223633,1994.373535,0,0.503441015,2021.10.13-15.35.15_RaspiY_side7_cameraA
56960,602710,0.094506479,22377.91179,1095,808,7149,12,1382.09668,1003.46405,0,0.687647445,2021.10.13-15.36.12_RaspiY_side1_cameraA
69898,599128,0.116666222,27812.2274,1098,848,7392,15,1070.056396,569.5877686,105.7293472,0.846557703,2021.10.13-15.36.12_RaspiY_side2_cameraA
50433,496823,0.101511001,28679.65573,931,787,6679,14,733.3249512,619.6351318,92.61950684,0.534818988,2021.10.13-15.36.12_RaspiY_side3_cameraA
50594,535495.5,0.094480719,12232.93394,841,895,6861,15,1079.764038,764.7806396,25.53201103,0.705926626,2021.10.13-15.36.12_RaspiY_side4_cameraA
84033,629377,0.133517749,13295.85197,937,895,7948,12,853.1044922,626.6560669,132.3244476,0.678544208,2021.10.13-15.36.12_RaspiY_side5_cameraA
94065,623862,0.150778538,14923.99781,1069,828,7707,16,871.7941895,599.8512573,97.13243866,0.725648853,2021.10.13-15.36.12_RaspiY_side6_cameraA
68327,551225,0.123954828,12862.611,1021,877,7207,11,12182.53906,2332.616211,0,0.981498059,2021.10.13-15.36.12_RaspiY_side7_cameraA
59199,609869,0.097068387,15653.56907,1172,856,6871,15,1724.457275,769.8116455,115.002327,0.8948295,2021.10.13-15.37.23_RaspiY_side1_cameraA
66387,573587,0.115740071,20583.66332,1066,869,7384,11,1139.894409,709.6975708,109.3770981,0.782540729,2021.10.13-15.37.23_RaspiY_side2_cameraA
65107,573303,0.113564729,23090.43769,947,834,5828,14,698.9122314,665.312439,23.96771431,0.306329348,2021.10.13-15.37.23_RaspiY_side3_cameraA
56952,826209,0.068931711,17265.92611,1274,1291,9726,10,2117.416504,1043.296265,0,0.870187162,2021.10.13-15.37.23_RaspiY_side4_cameraA
56853,623821,0.09113672,15739.71415,1109,879,7799,12,1878.040649,825.8897705,37.1285553,0.898114646,2021.10.13-15.37.23_RaspiY_side5_cameraA
48777,603254,0.080856488,17377.36777,960,922,6197,10,676.673645,577.8477783,14.9984827,0.520349444,2021.10.13-15.37.23_RaspiY_side6_cameraA
62781,576487.5,0.108902621,14863.18449,935,930,6344,13,866.8817749,731.6162109,89.92638397,0.536401271,2021.10.13-15.37.23_RaspiY_side7_cameraA
203448,505903,0.402148238,11398.25016,1046,706,6909,24,854.2301636,598.5758057,99.90765381,0.713436797,2021.10.13-15.38.18_RaspiY_side1_cameraA
151662,624586.5,0.24281985,13118.33272,1013,853,7710,16,828.8963013,606.8215942,67.56092834,0.681214532,2021.10.13-15.38.18_RaspiY_side2_cameraA
114366,655732.5,0.174409534,17891.22571,1185,849,7553,8,1091.529907,541.5864868,65.49932098,0.868224296,2021.10.13-15.38.18_RaspiY_side3_cameraA
131045,464889.5,0.28188419,17731.12092,845,818,6348,18,748.5734863,587.5232544,109.165062,0.619676731,2021.10.13-15.38.18_RaspiY_side4_cameraA
