area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
78562,684883.5,0.11470856,15833.67328,1049,897,8004,10,891.3371582,548.9926147,129.5197906,0.7878085,2021.10.22-14.45.06_RaspiY_side4_cameraA
333106,769877.5,0.432674029,26076.6288,1277,924,8209,30,1046.773438,703.9208984,75.70168304,0.740126842,2021.10.22-15.04.58_RaspiY_side3_cameraA
203002,1015165,0.199969463,59384.29707,1625,912,11162,17,1327.729248,720.5531006,82.56601715,0.839929317,2021.10.22-13.52.18_RaspiY_side7_cameraA
338143,881441,0.383625223,20591.31742,1134,1167,7566,35,937.0079346,866.9136963,99.04935455,0.379495583,2021.10.22-13.46.05_RaspiY_side7_cameraA
119764,815260.5,0.146902738,28456.94662,1072,964,9019,12,1168.225464,707.690918,71.93823242,0.795630048,2021.10.22-14.16.16_RaspiY_side2_cameraA
154204,1187137.5,0.129895652,46762.60552,1512,1261,10105,19,1322.455444,578.2775879,84.80238342,0.899327521,2021.10.22-14.04.36_RaspiY_side7_cameraA
158669,980185.5,0.161876502,41918.73108,1136,1438,10648,11,1348.722534,919.4401855,51.93881226,0.731620736,2021.10.22-13.46.58_RaspiY_side5_cameraA
169080,1215905.5,0.139056859,30792.4945,1455,1379,9862,26,1196.504883,1046.795044,105.712883,0.484344494,2021.10.22-13.57.11_RaspiY_side1_cameraA
130195,1027424,0.126719835,22047.57037,1218,1263,8711,13,1046.724731,618.1965332,83.00694275,0.806963826,2021.10.22-14.26.07_RaspiY_side6_cameraA
199747,643182,0.310560619,13470.3278,1078,1264,9543,13,955.1594849,533.9384766,130.4380646,0.829164603,2021.10.22-14.27.42_RaspiY_side3_cameraA
161284,481586,0.334901762,14557.76317,804,859,5986,26,804.9064331,490.8417053,42.10644531,0.792546004,2021.10.22-14.41.49_RaspiY_side3_cameraA
282001,668235,0.422008724,14388.10486,1028,879,7174,26,942.3245239,692.7390137,74.92137909,0.677916973,2021.10.22-13.57.59_RaspiY_side4_cameraA
113724,732853.5,0.155179719,21203.69667,1467,827,8127,15,1157.390991,635.6519165,80.12853241,0.835683689,2021.10.22-14.21.57_RaspiY_side3_cameraA
