area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
135745,457363,0.29679926,11958.29677,871,833,6775,21,698.9252319,510.2378235,122.7825089,0.683412905,2021.10.15-13.43.24_RaspiY_side4_cameraA
217942,763068.5,0.285612628,17703.58802,1291,954,7301,28,1102.015991,728.5608521,117.995079,0.750283344,2021.10.15-13.21.32_RaspiY_side7_cameraA
104726,509331.5,0.205614614,19935.53546,878,808,6600,17,775.0701294,480.5575562,104.1871338,0.784587459,2021.10.15-13.10.41_RaspiY_side6_cameraA
60156,782361,0.076890336,11667.24234,1016,1295,9020,7,881.9344482,534.9193115,23.62075615,0.795060938,2021.10.15-14.25.44_RaspiY_side6_cameraA
82186,606590,0.135488551,20475.27407,1064,846,7534,9,1219.70752,625.4159546,80.94189453,0.858532616,2021.10.15-13.51.42_RaspiY_side2_cameraA
88758,536724,0.165369911,15112.77747,1079,802,8975,15,782.9613647,484.1404724,118.3418427,0.785906548,2021.10.15-14.56.40_RaspiY_side7_cameraA
94004,610518,0.153974166,15975.26913,1231,835,8352,16,1351.002563,494.5731506,102.4599991,0.930583927,2021.10.15-13.18.37_RaspiY_side1_cameraA
53606,450825,0.118906449,8596.61018,805,867,6053,9,771.1758423,409.8840637,141.612915,0.847054953,2021.10.15-14.32.56_RaspiY_side2_cameraA
61787,371103,0.166495555,15155.98729,730,899,6787,18,732.4334717,430.4914246,139.588562,0.809038984,2021.10.15-13.22.44_RaspiY_side2_cameraA
158250,699580.5,0.226206991,16429.14733,1063,823,7876,15,856.7360229,628.1817017,106.7018204,0.679984301,2021.10.15-14.48.48_RaspiY_side4_cameraA
60539,601081,0.100716875,17894.55467,1004,850,8166,12,719.7366333,520.3568115,154.2746124,0.690866604,2021.10.15-13.51.42_RaspiY_side3_cameraA
164143,931809,0.176155199,20615.38073,1163,1250,10023,14,1035.116699,575.5117798,73.42064667,0.831190759,2021.10.15-13.00.40_RaspiY_side2_cameraA
147860,690786,0.214046029,16185.11156,1099,848,7795,14,743.09552,605.7711182,99.48252869,0.57918022,2021.10.15-13.05.50_RaspiY_side6_cameraA
45501,733690,0.062016656,18545.60588,966,891,7364,12,948.6150513,457.7576294,105.8682709,0.875866429,2021.10.15-13.49.50_RaspiY_side1_cameraA
104895,709407,0.147862933,24068.70247,1029,1028,7303,18,880.7597046,798.9946899,42.81525803,0.420774309,2021.10.15-14.38.49_RaspiY_side1_cameraA
211786,705607.5,0.300147036,19077.71481,951,1153,7128,17,922.0430908,628.3775024,160.478241,0.731812925,2021.10.15-13.53.33_RaspiY_side2_cameraA
24,329,0.072948328,292.5843489,6,140,470,7,142.1942902,5.362232208,178.8686981,0.999288702,2021.10.15-14.29.17_RaspiY_side2_cameraA
72328,849688,0.08512301,13206.9618,1117,1183,8383,8,1144.962036,604.9121094,34.33829117,0.849042199,2021.10.15-14.04.21_RaspiY_side1_cameraA
